epsilon,m,p_formula,p_numeric,p_block_diag,abs_error
0.405,0.405,0.9908920451586072,0.9908920451586072,0.5,0.0
0.40750000000000003,0.40750000000000003,0.991369260332797,0.991369260332797,0.5,0.0
0.41000000000000003,0.41000000000000003,0.9918333050943176,0.9918333050943177,0.5,1.1102230246251565e-16
0.41250000000000003,0.41250000000000003,0.9922842166878805,0.9922842166878805,0.5,0.0
0.41500000000000004,0.41500000000000004,0.9927220311697053,0.9927220311697054,0.5,1.1102230246251565e-16
0.4175,0.4175,0.9931467834225425,0.9931467834225425,0.5,0.0
0.42,0.42,0.9935585071701227,0.9935585071701227,0.5,0.0
0.4225,0.4225,0.9939572349910466,0.9939572349910466,0.5,0.0
0.425,0.425,0.9943429983321297,0.9943429983321298,0.5,1.1102230246251565e-16
0.4275,0.4275,0.9947158275212145,0.9947158275212145,0.5,0.0
0.43,0.43,0.9950757517794626,0.9950757517794625,0.5,1.1102230246251565e-16
0.4325,0.4325,0.9954227992331399,0.9954227992331399,0.5,0.0
0.435,0.435,0.9957569969249047,0.9957569969249049,0.5,2.220446049250313e-16
0.4375,0.4375,0.9960783708246108,0.9960783708246108,0.5,0.0
0.44,0.44,0.9963869458396343,0.9963869458396344,0.5,1.1102230246251565e-16
0.4425,0.4425,0.9966827458247367,0.9966827458247368,0.5,1.1102230246251565e-16
0.445,0.445,0.9969657935914704,0.9969657935914705,0.5,1.1102230246251565e-16
0.4475,0.4475,0.9972361109171377,0.9972361109171377,0.5,0.0
0.45,0.45,0.9974937185533099,0.99749371855331,0.5,1.1102230246251565e-16
0.4525,0.4525,0.9977386362339175,0.9977386362339173,0.5,1.1102230246251565e-16
0.455,0.455,0.9979708826829135,0.9979708826829136,0.5,1.1102230246251565e-16
0.4575,0.4575,0.9981904756215236,0.9981904756215239,0.5,2.220446049250313e-16
0.46,0.46,0.9983974317750846,0.9983974317750846,0.5,0.0
0.4625,0.4625,0.9985917668794783,0.9985917668794784,0.5,1.1102230246251565e-16
0.465,0.465,0.9987734956871706,0.9987734956871707,0.5,1.1102230246251565e-16
0.4675,0.4675,0.9989426319728552,0.9989426319728554,0.5,2.220446049250313e-16
0.47000000000000003,0.47000000000000003,0.9990991885387113,0.9990991885387113,0.5,0.0
0.47250000000000003,0.47250000000000003,0.9992431772192786,0.9992431772192787,0.5,1.1102230246251565e-16
0.47500000000000003,0.47500000000000003,0.9993746088859545,0.9993746088859545,0.5,0.0
0.47750000000000004,0.47750000000000004,0.9994934934511159,0.9994934934511159,0.5,0.0
0.48,0.48,0.9995998398718718,0.999599839871872,0.5,1.1102230246251565e-16
0.4825,0.4825,0.9996936561534477,0.9996936561534479,0.5,1.1102230246251565e-16
0.485,0.485,0.9997749493522059,0.9997749493522061,0.5,2.220446049250313e-16
0.4875,0.4875,0.999843725578305,0.9998437255783053,0.5,2.220446049250313e-16
0.49,0.49,0.9998999899979994,0.9998999899979997,0.5,2.220446049250313e-16
0.4925,0.4925,0.9999437468355815,0.9999437468355814,0.5,1.1102230246251565e-16
0.495,0.495,0.9999749993749687,0.9999749993749688,0.5,1.1102230246251565e-16
0.4975,0.4975,0.999993749960937,0.999993749960937,0.5,0.0
0.5,0.5,1.0,1.0,0.5,0.0
0.5025000000000001,0.5,1.0,1.0,0.5,0.0
0.505,0.5,1.0,1.0,0.5,0.0
0.5075000000000001,0.5,1.0,1.0,0.5,0.0
0.51,0.5,1.0,1.0,0.5,0.0
0.5125,0.5,1.0,1.0,0.5,0.0
0.515,0.5,1.0,1.0,0.5,0.0
0.5175,0.5,1.0,1.0,0.5,0.0
0.52,0.5,1.0,1.0,0.5,0.0
0.5225,0.5,1.0,1.0,0.5,0.0
0.525,0.5,1.0,1.0,0.5,0.0
0.5275,0.5,1.0,1.0,0.5,0.0
0.53,0.5,1.0,1.0,0.5,0.0
0.5325,0.5,1.0,1.0,0.5,0.0
0.535,0.5,1.0,1.0,0.5,0.0
0.5375,0.5,1.0,1.0,0.5,0.0
0.54,0.5,1.0,1.0,0.5,0.0
0.5425,0.5,1.0,1.0,0.5,0.0
