state_id,rank,L,C,C_envelope,violation
258,2,0.49850756730229023,0.4451752328079125,0.49999777263968165,-0.05482253983176916
259,2,0.4445526025906782,0.42027788913719477,0.4969160755303985,-0.07663818639320374
260,2,0.5960278836072778,0.48861931066631104,0.49069200683311226,-0.0020726961668012245
261,2,0.5891953673345178,0.4508300703714064,0.49197986386239473,-0.04114979349098835
262,2,0.3878438129210743,0.4774330108081215,0.4872586476399542,-0.009825636831832685
263,2,0.6716829546572722,0.4472286344524791,0.4696008550675233,-0.02237222061504418
264,2,0.5515164660767357,0.48866920262019853,0.4973389726564414,-0.008669770036242863
265,2,0.5320502591852998,0.48311017695816666,0.49897172353366387,-0.01586154657549721
266,2,0.6277632416315857,0.4162736382245671,0.48340102822376063,-0.06712738999919354
267,2,0.5405822052517054,0.4597515465711159,0.4983503633157183,-0.038598816744602416
268,2,0.4818471016912062,0.4557798318322159,0.4996703636228494,-0.043890531790633514
269,2,0.42899661965932145,0.46412284436723006,0.49493284390934994,-0.03080999954211988
270,2,0.4869772793408957,0.4884660078521331,0.49983037997568225,-0.011364372123549127
271,2,0.20108338093047218,0.31991765441144215,0.4008102479279226,-0.08089259351648043
272,2,0.5788235514896047,0.4767601454981397,0.49374775719041564,-0.016987611692275917
273,2,0.4848392339122949,0.47732928033217853,0.49977009831685,-0.022440817984671457
274,2,0.3067354803143454,0.42774486087815144,0.4611386184550945,-0.03339375757694307
275,2,0.66535960801363,0.3840781584719925,0.4718645992629439,-0.08778644079095138
276,2,0.6583864037530192,0.4709041755666187,0.4742507217771899,-0.003346546210571233
277,2,0.6212581653808124,0.48337254512246963,0.4850736617550777,-0.0017011166326080795
278,2,0.5865110475961599,0.47340571021818045,0.4924589715334821,-0.01905326131530166
279,2,0.6504016855177578,0.4681522870830632,0.4768430905375661,-0.008690803454502904
280,2,0.7443076925014054,0.41791868806607874,0.43624964342064365,-0.018330955354564915
281,2,0.6847327828643042,0.4477846246465407,0.46462221097921036,-0.016837586332669685
282,2,0.31109554293070685,0.41031891712262036,0.46294179558488296,-0.0526228784622626
283,2,0.5940494964243197,0.43784774586897973,0.4910750372624655,-0.053227291393485754
284,2,0.32665417890844956,0.4294843965125079,0.4689895801721997,-0.0395051836596918
285,2,0.692517919013701,0.4447769056446845,0.46145081087655926,-0.016673905231874786
286,2,0.5490951344112676,0.4907625930786935,0.4975838298991835,-0.006821236820489962
287,2,0.33188680688232547,0.3777753377129177,0.4708905969540902,-0.09311525924117248
288,2,0.40462842901707297,0.46993912945880045,0.4908199908808203,-0.020880861422019836
289,2,0.5237140140494911,0.4787593430084121,0.4994373289389376,-0.0206779859305255
290,2,0.5580759978008561,0.49609468977974347,0.49661572516326435,-0.0005210353835208847
291,2,0.5829133064489656,0.45996296798015673,0.49307746208248043,-0.0331144941023237
292,2,0.635021517240531,0.40520397735176217,0.48142412681757546,-0.07622014946581329
293,2,0.4346211383815935,0.4373599219503059,0.49570717611658727,-0.05834725416628139
294,2,0.5852509790017333,0.48938834932811687,0.49267866868705207,-0.003290319358935201
295,2,0.5409895995159555,0.4738787346489335,0.4983170203108876,-0.024438285661954107
296,2,0.4956963908653854,0.4547798430393579,0.4999814786053744,-0.045201635566016474
297,2,0.475715600024303,0.45840659319468047,0.4994099197230872,-0.041003326528406714
298,2,0.27824405622850246,0.40718380434754897,0.448134244844123,-0.040950440496574037
299,2,0.42566774468965873,0.4453724556611944,0.49444384496166827,-0.04907138930047389
300,2,0.5889144661737322,0.4851822965285166,0.4920307080915176,-0.006848411563001033
301,2,0.4574077717704512,0.4663745292132579,0.4981825991485873,-0.03180806993532942
